"","resTime_Jan_tmin_voccMag","resTime_Jan_tmin_voccAng","resTime_Jun_tmin_voccMag","resTime_Jun_tmin_voccAng","resTime_Jan_tmax_voccMag","resTime_Jan_tmax_voccAng","resTime_Jun_tmax_voccMag","resTime_Jun_tmax_voccAng","resTime_Jan_ppt_voccMag","resTime_Jan_ppt_voccAng","resTime_Jun_ppt_voccMag","resTime_Jun_ppt_voccAng","resTime_Jan_dsi_voccMag","resTime_Jan_dsi_voccAng","resTime_Jun_dsi_voccMag","resTime_Jun_dsi_voccAng"
"AND_birds",58.5009071640836,0.244398381807971,119.738197611258,0.111451815608796,60.2747055793636,0.207425002838158,119.738197611258,0.111451815608796,2908.17788905806,0.116999732982675,194.67835843056,0.0775332489809006,18.1180848787236,0.13345117547949,6.04488830688568,0.107370218021279
"BDFFP_1301",34.645240911246,0.0469108078631089,13.7178046990054,0.0477332914137158,65.2522794231904,0.0489200599124408,13.7178046990054,0.0477332914137158,15.216283693065,0.0672597403633428,12.5318477738337,0.0596798904815789,1.28496168649285,0.0714375117934417,0.231910631375467,0.0844397170341665
"BDFFP_1501",19.3666553016804,0.0573850298342813,4.49488912492176,0.0587332632202479,22.683570931511,0.114195480004868,4.49488912492176,0.0587332632202479,7.71175563627012,0.0799149564119614,13.3299234577372,0.0550879326195032,1.10577870370417,0.106440926074042,1.79669224076389,0.100632253623683
"CRBO_AERO",13.5026846621963,0.0741502411937446,14.2510836292542,0.082822450324319,5.52066862102706,0.0826212537308639,14.2510836292542,0.082822450324319,98.5988554315624,0.0504215285044086,40.9890161484163,0.0413723551901377,1.35474082007632,0.0791307565264842,2.83628536022107,0.136589176672714
"CRBO_CANO",684.614114498121,0.0602519002294195,1561.73444863786,0.060233912654877,945.296813836204,0.0602484737773287,1561.73444863786,0.060233912654877,176.428193524079,0.06104230588712,192.283119235419,0.0600170329521186,25.1673352147531,0.0603649316843063,11.1224827668207,0.060095242815324
"CRBO_CCC",13.5019624543345,0.0741537290986574,14.2510490503053,0.0828299207765705,5.52093894403382,0.0826228231210078,14.2510490503053,0.0828299207765705,99.6837547215772,0.0505646405027227,40.7153376012894,0.041427940593626,1.35299625887553,0.0793006832795256,2.83271220316143,0.136540488257416
"CRBO_PARQ",13.502209193447,0.0741550842072475,14.2513094784621,0.0828314344366187,5.52103983541015,0.0826243329964883,14.2513094784621,0.0828314344366187,99.6855763738927,0.0505655645368816,40.7160816461864,0.0414286976608545,1.35302098395511,0.0793021324451767,2.83276396903601,0.136542983441284
"ElVerde",326.229758365975,0.0527200632319296,733.596920063719,0.0538835410580362,525.682397012905,0.0534570999498669,733.596920063719,0.0538835410580362,133.966208605759,0.077674149188654,25.1268226911946,0.0691854078992503,4.37056601980784,0.0533728100839454,4.23877549850762,0.0526044492762845
"HBR-birds",14.3042183713284,0.074735190277485,1267.74559361991,0.0710163231453421,40.5192078789168,0.0736604919773341,1267.74559361991,0.0710163231453421,1154.7763812101,0.0723039465832764,29.412768280726,0.118622909907828,16.2052367740173,0.0697445976635031,10.1949438895802,0.0704800734492872
"HUNT_CLUB",466.304526894005,0.117288317486445,689.226309742401,0.0582378725511278,825.276611275692,0.0581872310907245,689.226309742401,0.0582378725511278,102.799519002589,0.060502287262234,168.817341520717,0.0574195471211988,7.88988583441758,0.0583021848189532,4.87394701164243,0.0373147274356393
"LIMBO_RIDGE",466.306573099721,0.117288832163039,689.229334158277,0.0582381281065874,825.280232698221,0.0581874864239627,689.229334158277,0.0582381281065874,102.799970100425,0.0605025527542438,168.818082313459,0.0574197990857386,7.88992045627639,0.0583024406566235,4.87396839916423,0.0373148911775808
"Luquillo_birds",327.999219008684,0.053006015308887,737.575928245461,0.0541758038046035,528.5336829187,0.0537470496923689,737.575928245461,0.0541758038046035,134.692837392686,0.0780954514960637,25.2631098406291,0.0695606675228381,4.3942718417327,0.0536623026406864,4.26176649250969,0.0528897742665369
"MAPS_ARCA",217.425936667731,0.0430845561913287,619.841380707197,0.0445208386899071,421.22112195368,0.0437747140599454,619.841380707197,0.0445208386899071,760.554528422751,0.0663897871909448,76.6593965629871,0.0675706468807958,39.145550864665,0.0380123278268833,8.99820620185236,0.0669519182923484
"MAPS_BIGB",18.5029769294825,0.114618867002191,341.183275686976,0.0503819629478158,163.834494548945,0.0507358269951116,341.183275686976,0.0503819629478158,236.002919964116,0.10051741922682,33.7819352953102,0.103071482997712,10.618266824713,0.0507547023438401,8.15968253872073,0.101511875033503
"MAPS_BMNC",656.009653455183,0.103273170657628,1442.70423366476,0.0510595253467046,31.3411637254336,0.106016578787077,1442.70423366476,0.0510595253467046,1133.83712281242,0.0510257996281665,66.7915468950511,0.0512591815781599,63.6702819654878,0.0516253124785351,88.9294047000116,0.0513243059403412
"MAPS_CASP",99.2797530222173,0.0514689684336485,2508.76951760742,0.0514380170436615,26.7264843416575,0.0522079274029479,2508.76951760742,0.0514380170436615,208.187486512348,0.0514210048025629,40.9329460859101,0.0514477790302482,18.2937537997327,0.051470357894169,6.77735717497611,0.0514575649269499
"MAPS_COLR",34.8536920238608,0.0431819736123395,57.3852948307888,0.0416807644832127,130.797786413925,0.0689448271380319,57.3852948307888,0.0416807644832127,291.09233572824,0.069560854666883,458.472461487378,0.038105700463625,23.4689115537412,0.0717424800211603,1.23623803350124,0.0605178723199351
